"id_location";"id_client";"code_client";"prenom";"nom";"email";"id_ville";"ville";"id_pays";"pays";"code_pays";"id_temps";"date_location";"annee";"mois";"jour";"trimestre";"id_contenu";"id_categorie_film";"id_langue_film";"acteur_principal";"date_retour";"montant"
16246;371;B371P376;BILLY;POULIN;BILLY.POULIN@sakilacustomer.org;98;Cabuyao;75;Philippines;EEF5;16246;2022-05-29;2022;5;29;2;16246;14;1;180;20220606;2.99
16053;269;C269W274;CASSANDRA;WALTERS;CASSANDRA.WALTERS@sakilacustomer.org;446;Salinas;103;United States;C5AB;16053;2022-05-29;2022;5;29;2;16053;4;1;41;20220603;0.99
16058;271;P271N276;PENNY;NEAL;PENNY.NEAL@sakilacustomer.org;283;Kumbakonam;44;India;CF87;16058;2022-05-31;2022;5;31;2;16058;15;1;195;20220609;8.99
16059;272;K272C277;KAY;CALDWELL;KAY.CALDWELL@sakilacustomer.org;584;Yantai;23;China;C5FF;16059;2022-05-25;2022;5;25;2;16059;14;1;89;20220527;0.99
16060;272;K272C277;KAY;CALDWELL;KAY.CALDWELL@sakilacustomer.org;584;Yantai;23;China;C5FF;16060;2022-05-27;2022;5;27;2;16060;4;1;113;20220605;6.99
16063;273;P273L278;PRISCILLA;LOWE;PRISCILLA.LOWE@sakilacustomer.org;445;Salamanca;60;Mexico;C350;16063;2022-05-25;2022;5;25;2;16063;5;1;100;20220602;3.99
16080;281;L281O286;LEONA;OBRIEN;LEONA.OBRIEN@sakilacustomer.org;175;Fuzhou;23;China;C5FF;16080;2022-05-29;2022;5;29;2;16080;2;1;69;20220604;2.99
16081;282;J282C287;JENNY;CASTRO;JENNY.CASTRO@sakilacustomer.org;411;Ponce;77;Puerto Rico;"08FB";16081;2022-05-25;2022;5;25;2;16081;10;1;88;20220602;1.99
16089;287;B287M292;BECKY;MILES;BECKY.MILES@sakilacustomer.org;522;Tambaram;44;India;CF87;16089;2022-05-28;2022;5;28;2;16089;14;1;100;20220531;2.99
16100;293;M293F298;MAE;FLETCHER;MAE.FLETCHER@sakilacustomer.org;146;Donostia-San Sebastin;87;Spain;C7D4;16100;2022-05-27;2022;5;27;2;16100;10;1;195;20220530;0.99
16112;299;J299G304;JAMES;GANNON;JAMES.GANNON@sakilacustomer.org;205;Hiroshima;50;Japan;"3793";16112;2022-05-27;2022;5;27;2;16112;11;1;38;20220603;5.99
16119;301;R301B306;ROBERT;BAUGHMAN;ROBERT.BAUGHMAN@sakilacustomer.org;254;Kaliningrad;80;Russian Federation;F3B2;16119;2022-05-30;2022;5;30;2;16119;4;1;134;20220531;0.99
16120;302;M302S307;MICHAEL;SILVERMAN;MICHAEL.SILVERMAN@sakilacustomer.org;536;Tiefa;23;China;C5FF;16120;2022-05-25;2022;5;25;2;16120;8;1;10;20220531;4.99
16124;303;W303S308;WILLIAM;SATTERFIELD;WILLIAM.SATTERFIELD@sakilacustomer.org;455;Sanaa;107;Yemen;"3199";16124;2022-05-31;2022;5;31;2;16124;5;1;7;20220603;4.99
16140;311;P311T316;PAUL;TROUT;PAUL.TROUT@sakilacustomer.org;286;Kursk;80;Russian Federation;F3B2;16140;2022-05-28;2022;5;28;2;16140;6;1;90;20220606;6.99
16143;311;P311T316;PAUL;TROUT;PAUL.TROUT@sakilacustomer.org;286;Kursk;80;Russian Federation;F3B2;16143;2022-05-31;2022;5;31;2;16143;1;1;132;20220605;6.99
16158;316;S316C321;STEVEN;CURLEY;STEVEN.CURLEY@sakilacustomer.org;336;Miraj;44;India;CF87;16158;2022-05-31;2022;5;31;2;16158;12;1;44;20220608;1.99
16165;321;K321S326;KEVIN;SCHULER;KEVIN.SCHULER@sakilacustomer.org;81;Birgunj;66;Nepal;DF73;16165;2022-05-28;2022;5;28;2;16165;9;1;87;20220604;5.99
16166;321;K321S326;KEVIN;SCHULER;KEVIN.SCHULER@sakilacustomer.org;81;Birgunj;66;Nepal;DF73;16166;2022-05-29;2022;5;29;2;16166;14;1;50;20220602;4.99
16170;323;M323M328;MATTHEW;MAHAN;MATTHEW.MAHAN@sakilacustomer.org;130;Cuautla;60;Mexico;C350;16170;2022-05-29;2022;5;29;2;16170;7;1;162;20220604;2.99
16174;326;J326A331;JOSE;ANDREW;JOSE.ANDREW@sakilacustomer.org;269;Kingstown;81;Saint Vincent and the Grenadines;"0470";16174;2022-05-30;2022;5;30;2;16174;11;1;5;20220605;6.99
16176;326;J326A331;JOSE;ANDREW;JOSE.ANDREW@sakilacustomer.org;269;Kingstown;81;Saint Vincent and the Grenadines;"0470";16176;2022-05-31;2022;5;31;2;16176;2;1;164;20220608;3.99
16200;346;A346S351;ARTHUR;SIMPKINS;ARTHUR.SIMPKINS@sakilacustomer.org;320;Maikop;80;Russian Federation;F3B2;16200;2022-05-29;2022;5;29;2;16200;10;1;58;20220604;4.99
16201;348;R348Q353;ROGER;QUINTANILLA;ROGER.QUINTANILLA@sakilacustomer.org;209;Hsichuh;92;Taiwan;B053;16201;2022-05-25;2022;5;25;2;16201;2;1;139;20220527;0.99
16204;350;J350F355;JUAN;FRALEY;JUAN.FRALEY@sakilacustomer.org;531;Teboksary;80;Russian Federation;F3B2;16204;2022-05-25;2022;5;25;2;16204;12;1;161;20220527;4.99
16211;354;J354N359;JUSTIN;NGO;JUSTIN.NGO@sakilacustomer.org;461;Santo Andr;15;Brazil;CD6C;16211;2022-05-27;2022;5;27;2;16211;6;1;147;20220530;0.99
16219;359;W359M364;WILLIE;MARKHAM;WILLIE.MARKHAM@sakilacustomer.org;20;Almirante Brown;6;Argentina;E7F8;16219;2022-05-27;2022;5;27;2;16219;6;1;158;20220601;2.99
16230;366;B366H371;BRANDON;HUEY;BRANDON.HUEY@sakilacustomer.org;50;Balikesir;97;Turkey;"2C55";16230;2022-05-30;2022;5;30;2;16230;16;1;200;20220607;6.99
16231;367;A367G372;ADAM;GOOCH;ADAM.GOOCH@sakilacustomer.org;8;Adoni;44;India;CF87;16231;2022-05-30;2022;5;30;2;16231;9;1;12;20220601;0.99
16235;368;H368A373;HARRY;ARCE;HARRY.ARCE@sakilacustomer.org;356;Najafabad;46;Iran;"37F2";16235;2022-05-29;2022;5;29;2;16235;2;1;22;20220531;2.99
16066;274;N274J279;NAOMI;JENNINGS;NAOMI.JENNINGS@sakilacustomer.org;263;Karnal;44;India;CF87;16066;2022-05-26;2022;5;26;2;16066;7;1;163;20220527;4.99
16069;274;N274J279;NAOMI;JENNINGS;NAOMI.JENNINGS@sakilacustomer.org;263;Karnal;44;India;CF87;16069;2022-05-27;2022;5;27;2;16069;15;1;41;20220531;2.99
16074;277;O277J282;OLGA;JIMENEZ;OLGA.JIMENEZ@sakilacustomer.org;374;Ogbomosho;69;Nigeria;"36CA";16074;2022-05-26;2022;5;26;2;16074;15;1;118;20220604;6.99
16091;288;B288C293;BOBBIE;CRAIG;BOBBIE.CRAIG@sakilacustomer.org;563;Valle de Santiago;60;Mexico;C350;16091;2022-05-25;2022;5;25;2;16091;4;1;89;20220603;3.99
16092;288;B288C293;BOBBIE;CRAIG;BOBBIE.CRAIG@sakilacustomer.org;563;Valle de Santiago;60;Mexico;C350;16092;2022-05-27;2022;5;27;2;16092;7;1;79;20220605;6.99
16097;291;T291H296;TONI;HOLT;TONI.HOLT@sakilacustomer.org;433;Roanoke;103;United States;C5AB;16097;2022-05-29;2022;5;29;2;16097;16;1;44;20220605;4.99
16105;296;R296H301;RAMONA;HALE;RAMONA.HALE@sakilacustomer.org;400;Patiala;44;India;CF87;16105;2022-05-26;2022;5;26;2;16105;7;1;142;20220527;4.99
16106;296;R296H301;RAMONA;HALE;RAMONA.HALE@sakilacustomer.org;400;Patiala;44;India;CF87;16106;2022-05-28;2022;5;28;2;16106;1;1;16;20220603;5.99
16110;297;S297R302;SHERRI;RHODES;SHERRI.RHODES@sakilacustomer.org;9;Ahmadnagar;44;India;CF87;16110;2022-05-30;2022;5;30;2;16110;8;1;66;20220608;3.99
16111;298;E298P303;ERIKA;PENA;ERIKA.PENA@sakilacustomer.org;387;Oulu;33;Finland;"53B7";16111;2022-05-27;2022;5;27;2;16111;8;1;27;20220603;3.99
16115;300;J300F305;JOHN;FARNSWORTH;JOHN.FARNSWORTH@sakilacustomer.org;398;Parbhani;44;India;CF87;16115;2022-05-29;2022;5;29;2;16115;1;1;93;20220606;3.99
16118;301;R301B306;ROBERT;BAUGHMAN;ROBERT.BAUGHMAN@sakilacustomer.org;254;Kaliningrad;80;Russian Federation;F3B2;16118;2022-05-26;2022;5;26;2;16118;3;1;156;20220530;5.99
16123;303;W303S308;WILLIAM;SATTERFIELD;WILLIAM.SATTERFIELD@sakilacustomer.org;455;Sanaa;107;Yemen;"3199";16123;2022-05-30;2022;5;30;2;16123;3;1;128;20220604;2.99
16127;304;D304R309;DAVID;ROYAL;DAVID.ROYAL@sakilacustomer.org;99;Callao;74;Peru;AD7D;16127;2022-05-30;2022;5;30;2;16127;14;1;113;20220605;2.99
16136;309;C309G314;CHRISTOPHER;GRECO;CHRISTOPHER.GRECO@sakilacustomer.org;91;Brescia;49;Italy;"1E74";16136;2022-05-26;2022;5;26;2;16136;16;1;4;20220604;6.99
16139;311;P311T316;PAUL;TROUT;PAUL.TROUT@sakilacustomer.org;286;Kursk;80;Russian Federation;F3B2;16139;2022-05-26;2022;5;26;2;16139;6;1;22;20220603;5.99
16141;311;P311T316;PAUL;TROUT;PAUL.TROUT@sakilacustomer.org;286;Kursk;80;Russian Federation;F3B2;16141;2022-05-30;2022;5;30;2;16141;7;1;184;20220602;2.99
16148;313;D313M318;DONALD;MAHON;DONALD.MAHON@sakilacustomer.org;166;Ezhou;23;China;C5FF;16148;2022-05-28;2022;5;28;2;16148;11;1;149;20220603;4.99
16155;315;K315G320;KENNETH;GOODEN;KENNETH.GOODEN@sakilacustomer.org;57;Bat Yam;48;Israel;"8637";16155;2022-05-28;2022;5;28;2;16155;13;1;51;20220602;4.99
16156;316;S316C321;STEVEN;CURLEY;STEVEN.CURLEY@sakilacustomer.org;336;Miraj;44;India;CF87;16156;2022-05-24;2022;5;24;2;16156;12;1;139;20220526;4.99
16162;319;R319W324;RONALD;WEINER;RONALD.WEINER@sakilacustomer.org;451;San Felipe del Progreso;60;Mexico;C350;16162;2022-05-25;2022;5;25;2;16162;5;1;140;20220602;3.99
16169;323;M323M328;MATTHEW;MAHAN;MATTHEW.MAHAN@sakilacustomer.org;130;Cuautla;60;Mexico;C350;16169;2022-05-25;2022;5;25;2;16169;6;1;117;20220528;4.99
16171;323;M323M328;MATTHEW;MAHAN;MATTHEW.MAHAN@sakilacustomer.org;130;Cuautla;60;Mexico;C350;16171;2022-05-30;2022;5;30;2;16171;3;1;80;20220607;5.99
16175;326;J326A331;JOSE;ANDREW;JOSE.ANDREW@sakilacustomer.org;269;Kingstown;81;Saint Vincent and the Grenadines;"0470";16175;2022-05-30;2022;5;30;2;16175;9;1;72;20220601;4.99
16183;332;S332Q337;STEPHEN;QUALLS;STEPHEN.QUALLS@sakilacustomer.org;143;Dhaka;12;Bangladesh;"7ABF";16183;2022-05-28;2022;5;28;2;16183;3;1;40;20220603;3.99
16185;333;A333P338;ANDREW;PURDY;ANDREW.PURDY@sakilacustomer.org;48;Baku;10;Azerbaijan;"7C3E";16185;2022-05-24;2022;5;24;2;16185;11;1;51;20220603;4.99
16192;339;W339P344;WALTER;PERRYMAN;WALTER.PERRYMAN@sakilacustomer.org;581;Xinxiang;23;China;C5FF;16192;2022-05-30;2022;5;30;2;16192;15;1;93;20220607;5.99
16198;345;C345A350;CARL;ARTIS;CARL.ARTIS@sakilacustomer.org;453;San Lorenzo;73;Paraguay;C95B;16198;2022-05-27;2022;5;27;2;16198;5;1;17;20220528;0.99
16199;346;A346S351;ARTHUR;SIMPKINS;ARTHUR.SIMPKINS@sakilacustomer.org;320;Maikop;80;Russian Federation;F3B2;16199;2022-05-25;2022;5;25;2;16199;6;1;9;20220529;4.99
16205;350;J350F355;JUAN;FRALEY;JUAN.FRALEY@sakilacustomer.org;531;Teboksary;80;Russian Federation;F3B2;16205;2022-05-29;2022;5;29;2;16205;7;1;188;20220531;4.99
16208;353;J353S358;JONATHAN;SCARBOROUGH;JONATHAN.SCARBOROUGH@sakilacustomer.org;393;Pachuca de Soto;60;Mexico;C350;16208;2022-05-31;2022;5;31;2;16208;2;1;183;20220609;6.99
16218;359;W359M364;WILLIE;MARKHAM;WILLIE.MARKHAM@sakilacustomer.org;20;Almirante Brown;6;Argentina;E7F8;16218;2022-05-26;2022;5;26;2;16218;13;1;102;20220604;8.99
16222;360;R360M365;RALPH;MADRIGAL;RALPH.MADRIGAL@sakilacustomer.org;32;Arecibo;77;Puerto Rico;"08FB";16222;2022-05-29;2022;5;29;2;16222;9;1;20;20220603;4.99
16226;363;R363W368;ROY;WHITING;ROY.WHITING@sakilacustomer.org;372;Nyeri;52;Kenya;"6FAC";16226;2022-05-29;2022;5;29;2;16226;12;1;63;20220605;3.99
16228;365;B365S370;BRUCE;SCHWARZ;BRUCE.SCHWARZ@sakilacustomer.org;377;Okinawa;50;Japan;"3793";16228;2022-05-25;2022;5;25;2;16228;11;1;98;20220601;5.99
16232;367;A367G372;ADAM;GOOCH;ADAM.GOOCH@sakilacustomer.org;8;Adoni;44;India;CF87;16232;2022-05-31;2022;5;31;2;16232;4;1;190;20220602;2.99
16241;371;B371P376;BILLY;POULIN;BILLY.POULIN@sakilacustomer.org;98;Cabuyao;75;Philippines;EEF5;16241;2022-05-25;2022;5;25;2;16241;2;1;3;20220530;3.99
16243;371;B371P376;BILLY;POULIN;BILLY.POULIN@sakilacustomer.org;98;Cabuyao;75;Philippines;EEF5;16243;2022-05-27;2022;5;27;2;16243;8;1;198;20220531;4.99
16245;371;B371P376;BILLY;POULIN;BILLY.POULIN@sakilacustomer.org;98;Cabuyao;75;Philippines;EEF5;16245;2022-05-29;2022;5;29;2;16245;13;1;25;20220604;0.99
16055;269;C269W274;CASSANDRA;WALTERS;CASSANDRA.WALTERS@sakilacustomer.org;446;Salinas;103;United States;C5AB;16055;2022-05-31;2022;5;31;2;16055;1;1;103;20220605;2.99
16057;270;L270C275;LEAH;CURTIS;LEAH.CURTIS@sakilacustomer.org;255;Kalisz;76;Poland;E492;16057;2022-05-31;2022;5;31;2;16057;14;1;141;20220609;4.99
16067;274;N274J279;NAOMI;JENNINGS;NAOMI.JENNINGS@sakilacustomer.org;263;Karnal;44;India;CF87;16067;2022-05-26;2022;5;26;2;16067;5;1;102;20220601;2.99
16068;274;N274J279;NAOMI;JENNINGS;NAOMI.JENNINGS@sakilacustomer.org;263;Karnal;44;India;CF87;16068;2022-05-27;2022;5;27;2;16068;6;1;194;20220603;5.99
16070;274;N274J279;NAOMI;JENNINGS;NAOMI.JENNINGS@sakilacustomer.org;263;Karnal;44;India;CF87;16070;2022-05-30;2022;5;30;2;16070;16;1;25;20220605;4.99
16079;281;L281O286;LEONA;OBRIEN;LEONA.OBRIEN@sakilacustomer.org;175;Fuzhou;23;China;C5FF;16079;2022-05-28;2022;5;28;2;16079;7;1;65;20220529;2.99
16083;282;J282C287;JENNY;CASTRO;JENNY.CASTRO@sakilacustomer.org;411;Ponce;77;Puerto Rico;"08FB";16083;2022-05-28;2022;5;28;2;16083;2;1;169;20220529;0.99
16084;284;S284G289;SONIA;GREGORY;SONIA.GREGORY@sakilacustomer.org;69;Benin City;69;Nigeria;"36CA";16084;2022-05-27;2022;5;27;2;16084;10;1;159;20220602;0.99
16085;284;S284G289;SONIA;GREGORY;SONIA.GREGORY@sakilacustomer.org;69;Benin City;69;Nigeria;"36CA";16085;2022-05-29;2022;5;29;2;16085;4;1;61;20220601;0.99
16086;284;S284G289;SONIA;GREGORY;SONIA.GREGORY@sakilacustomer.org;69;Benin City;69;Nigeria;"36CA";16086;2022-05-31;2022;5;31;2;16086;13;1;171;20220608;6.99
16093;288;B288C293;BOBBIE;CRAIG;BOBBIE.CRAIG@sakilacustomer.org;563;Valle de Santiago;60;Mexico;C350;16093;2022-05-28;2022;5;28;2;16093;1;1;85;20220528;4.99
16096;291;T291H296;TONI;HOLT;TONI.HOLT@sakilacustomer.org;433;Roanoke;103;United States;C5AB;16096;2022-05-25;2022;5;25;2;16096;4;1;59;20220601;4.99
16099;292;M292L297;MISTY;LAMBERT;MISTY.LAMBERT@sakilacustomer.org;470;Sharja;101;United Arab Emirates;"6B40";16099;2022-05-27;2022;5;27;2;16099;9;1;41;20220530;0.99
16101;293;M293F298;MAE;FLETCHER;MAE.FLETCHER@sakilacustomer.org;146;Donostia-San Sebastin;87;Spain;C7D4;16101;2022-05-30;2022;5;30;2;16101;14;1;132;20220604;4.99
16125;304;D304R309;DAVID;ROYAL;DAVID.ROYAL@sakilacustomer.org;99;Callao;74;Peru;AD7D;16125;2022-05-25;2022;5;25;2;16125;1;1;25;20220603;10.99
16128;305;R305M310;RICHARD;MCCRARY;RICHARD.MCCRARY@sakilacustomer.org;33;Arlington;103;United States;C5AB;16128;2022-05-25;2022;5;25;2;16128;9;1;92;20220527;2.99
16135;308;T308G313;THOMAS;GRIGSBY;THOMAS.GRIGSBY@sakilacustomer.org;262;Kansas City;103;United States;C5AB;16135;2022-05-28;2022;5;28;2;16135;13;1;119;20220603;3.99
16147;312;M312R317;MARK;RINEHART;MARK.RINEHART@sakilacustomer.org;515;Tabuk;82;Saudi Arabia;"36A3";16147;2022-05-31;2022;5;31;2;16147;3;1;186;20220608;6.99
16150;313;D313M318;DONALD;MAHON;DONALD.MAHON@sakilacustomer.org;166;Ezhou;23;China;C5FF;16150;2022-05-29;2022;5;29;2;16150;2;1;153;20220530;0.99
16151;313;D313M318;DONALD;MAHON;DONALD.MAHON@sakilacustomer.org;166;Ezhou;23;China;C5FF;16151;2022-05-29;2022;5;29;2;16151;8;1;117;20220530;0.99
16152;314;G314L319;GEORGE;LINTON;GEORGE.LINTON@sakilacustomer.org;490;Sorocaba;15;Brazil;CD6C;16152;2022-05-25;2022;5;25;2;16152;16;1;59;20220531;5.99
16153;314;G314L319;GEORGE;LINTON;GEORGE.LINTON@sakilacustomer.org;490;Sorocaba;15;Brazil;CD6C;16153;2022-05-27;2022;5;27;2;16153;6;1;76;20220529;4.99
16159;317;E317B322;EDWARD;BAUGH;EDWARD.BAUGH@sakilacustomer.org;545;Trshavn;32;Faroe Islands;"8AC3";16159;2022-05-25;2022;5;25;2;16159;8;1;28;20220603;6.99
16161;319;R319W324;RONALD;WEINER;RONALD.WEINER@sakilacustomer.org;451;San Felipe del Progreso;60;Mexico;C350;16161;2022-05-24;2022;5;24;2;16161;6;1;75;20220603;9.99
16163;319;R319W324;RONALD;WEINER;RONALD.WEINER@sakilacustomer.org;451;San Felipe del Progreso;60;Mexico;C350;16163;2022-05-27;2022;5;27;2;16163;2;1;181;20220602;2.99
16168;322;J322M327;JASON;MORRISSEY;JASON.MORRISSEY@sakilacustomer.org;45;Baha Blanca;6;Argentina;E7F8;16168;2022-05-26;2022;5;26;2;16168;12;1;137;20220527;4.99
16178;328;J328S333;JEFFREY;SPEAR;JEFFREY.SPEAR@sakilacustomer.org;119;Ciparay;45;Indonesia;"9F5D";16178;2022-05-30;2022;5;30;2;16178;10;1;86;20220603;2.99
16181;331;E331R336;ERIC;ROBERT;ERIC.ROBERT@sakilacustomer.org;457;Santa F;6;Argentina;E7F8;16181;2022-05-25;2022;5;25;2;16181;8;1;2;20220529;0.99
16188;337;J337J342;JERRY;JORDON;JERRY.JORDON@sakilacustomer.org;382;Onomichi;50;Japan;"3793";16188;2022-05-27;2022;5;27;2;16188;6;1;115;20220605;6.99
16190;337;J337J342;JERRY;JORDON;JERRY.JORDON@sakilacustomer.org;382;Onomichi;50;Japan;"3793";16190;2022-05-29;2022;5;29;2;16190;12;1;181;20220608;8.99
16203;349;J349G354;JOE;GILLILAND;JOE.GILLILAND@sakilacustomer.org;221;Imus;75;Philippines;EEF5;16203;2022-05-30;2022;5;30;2;16203;13;1;65;20220601;4.99
16214;357;K357R362;KEITH;RICO;KEITH.RICO@sakilacustomer.org;90;Bratislava;84;Slovakia;"4D25";16214;2022-05-25;2022;5;25;2;16214;7;1;97;20220601;2.99
16215;357;K357R362;KEITH;RICO;KEITH.RICO@sakilacustomer.org;90;Bratislava;84;Slovakia;"4D25";16215;2022-05-29;2022;5;29;2;16215;7;1;47;20220531;4.99
16220;359;W359M364;WILLIE;MARKHAM;WILLIE.MARKHAM@sakilacustomer.org;20;Almirante Brown;6;Argentina;E7F8;16220;2022-05-28;2022;5;28;2;16220;15;1;5;20220603;3.99
16223;361;L361L366;LAWRENCE;LAWTON;LAWRENCE.LAWTON@sakilacustomer.org;585;Yaound;19;Cameroon;"890D";16223;2022-05-27;2022;5;27;2;16223;11;1;164;20220604;5.99
16233;368;H368A373;HARRY;ARCE;HARRY.ARCE@sakilacustomer.org;356;Najafabad;46;Iran;"37F2";16233;2022-05-25;2022;5;25;2;16233;9;1;113;20220603;5.99
16234;368;H368A373;HARRY;ARCE;HARRY.ARCE@sakilacustomer.org;356;Najafabad;46;Iran;"37F2";16234;2022-05-25;2022;5;25;2;16234;1;1;102;20220602;5.99
16238;369;F369W374;FRED;WHEAT;FRED.WHEAT@sakilacustomer.org;250;Jurez;60;Mexico;C350;16238;2022-05-26;2022;5;26;2;16238;8;1;113;20220528;4.99
16240;369;F369W374;FRED;WHEAT;FRED.WHEAT@sakilacustomer.org;250;Jurez;60;Mexico;C350;16240;2022-05-30;2022;5;30;2;16240;7;1;32;20220607;7.99
16050;269;C269W274;CASSANDRA;WALTERS;CASSANDRA.WALTERS@sakilacustomer.org;446;Salinas;103;United States;C5AB;16050;2022-05-24;2022;5;24;2;16050;11;1;70;20220529;1.99
16052;269;C269W274;CASSANDRA;WALTERS;CASSANDRA.WALTERS@sakilacustomer.org;446;Salinas;103;United States;C5AB;16052;2022-05-28;2022;5;28;2;16052;7;1;93;20220603;6.99
16054;269;C269W274;CASSANDRA;WALTERS;CASSANDRA.WALTERS@sakilacustomer.org;446;Salinas;103;United States;C5AB;16054;2022-05-29;2022;5;29;2;16054;5;1;109;20220530;4.99
16062;272;K272C277;KAY;CALDWELL;KAY.CALDWELL@sakilacustomer.org;584;Yantai;23;China;C5FF;16062;2022-05-31;2022;5;31;2;16062;10;1;40;20220605;0.99
16073;276;B276G281;BRANDY;GRAVES;BRANDY.GRAVES@sakilacustomer.org;573;Warren;103;United States;C5AB;16073;2022-05-30;2022;5;30;2;16073;1;1;44;20220608;10.99
16082;282;J282C287;JENNY;CASTRO;JENNY.CASTRO@sakilacustomer.org;411;Ponce;77;Puerto Rico;"08FB";16082;2022-05-26;2022;5;26;2;16082;12;1;107;20220601;6.99
