id_client,prenom,nom,email,nombre_locations,total_depense,offre_promotionnelle
193,KATIE,ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,24,70600.38799999999,Reduction de 30% sur le prochain abonnement
198,ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,37,93659.919,Reduction de 30% sur le prochain abonnement
220,CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,27,75870.949,Reduction de 30% sur le prochain abonnement
232,CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,25,63319.475,Reduction de 30% sur le prochain abonnement
233,LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,23,59364.901,Reduction de 30% sur le prochain abonnement
250,JO,FOWLER,JO.FOWLER@sakilacustomer.org,20,48803.94,Reduction de 30% sur le prochain abonnement
257,MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,37,100272.919,Reduction de 30% sur le prochain abonnement
277,OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,32,95676.88399999999,Reduction de 30% sur le prochain abonnement
280,TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,27,78516.14899999999,Reduction de 30% sur le prochain abonnement
284,SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,26,79845.362,Reduction de 30% sur le prochain abonnement
286,VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,27,77854.849,Reduction de 30% sur le prochain abonnement
335,GREGORY,MAULDIN,GREGORY.MAULDIN@sakilacustomer.org,22,51435.914,Reduction de 30% sur le prochain abonnement
338,DENNIS,GILMAN,DENNIS.GILMAN@sakilacustomer.org,28,75864.336,Reduction de 30% sur le prochain abonnement
352,ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,22,64000.613999999994,Reduction de 30% sur le prochain abonnement
361,LAWRENCE,LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,29,63954.323,Reduction de 30% sur le prochain abonnement
363,ROY,WHITING,ROY.WHITING@sakilacustomer.org,29,95035.423,Reduction de 30% sur le prochain abonnement
375,AARON,SELBY,AARON.SELBY@sakilacustomer.org,24,73245.588,Reduction de 30% sur le prochain abonnement
383,MARTIN,BALES,MARTIN.BALES@sakilacustomer.org,27,68596.64899999999,Reduction de 30% sur le prochain abonnement
387,JESSE,SCHILLING,JESSE.SCHILLING@sakilacustomer.org,26,67280.662,Reduction de 30% sur le prochain abonnement
392,SEAN,DOUGLASS,SEAN.DOUGLASS@sakilacustomer.org,23,60687.501,Reduction de 30% sur le prochain abonnement
395,JOHNNY,TURPIN,JOHNNY.TURPIN@sakilacustomer.org,19,38229.753,Reduction de 30% sur le prochain abonnement
407,DALE,RATCLIFF,DALE.RATCLIFF@sakilacustomer.org,27,74548.349,Reduction de 30% sur le prochain abonnement
409,RODNEY,MOELLER,RODNEY.MOELLER@sakilacustomer.org,23,69284.401,Reduction de 30% sur le prochain abonnement
423,ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,26,79845.362,Reduction de 30% sur le prochain abonnement
432,EDWIN,BURK,EDWIN.BURK@sakilacustomer.org,23,77220.00099999999,Reduction de 30% sur le prochain abonnement
433,DON,BONE,DON.BONE@sakilacustomer.org,25,88448.875,Reduction de 30% sur le prochain abonnement
438,BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,32,88402.58399999999,Reduction de 30% sur le prochain abonnement
441,MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,27,71241.849,Reduction de 30% sur le prochain abonnement
456,RONNIE,RICKETTS,RONNIE.RICKETTS@sakilacustomer.org,25,66625.97499999999,Reduction de 30% sur le prochain abonnement
471,DEAN,SAUER,DEAN.SAUER@sakilacustomer.org,27,72564.449,Reduction de 30% sur le prochain abonnement
481,HERMAN,DEVORE,HERMAN.DEVORE@sakilacustomer.org,29,76519.023,Reduction de 30% sur le prochain abonnement
491,RICK,MATTOX,RICK.MATTOX@sakilacustomer.org,27,82483.949,Reduction de 30% sur le prochain abonnement
528,CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,25,73900.275,Reduction de 30% sur le prochain abonnement
535,JAVIER,ELROD,JAVIER.ELROD@sakilacustomer.org,32,89725.184,Reduction de 30% sur le prochain abonnement
543,LANCE,PEMBERTON,LANCE.PEMBERTON@sakilacustomer.org,22,54742.414,Reduction de 30% sur le prochain abonnement
555,DWIGHT,LOMBARDI,DWIGHT.LOMBARDI@sakilacustomer.org,17,49485.079,Reduction de 30% sur le prochain abonnement
559,EVERETT,BANDA,EVERETT.BANDA@sakilacustomer.org,28,73219.136,Reduction de 30% sur le prochain abonnement
562,WALLACE,SLONE,WALLACE.SLONE@sakilacustomer.org,25,72577.675,Reduction de 30% sur le prochain abonnement
584,SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,30,85770.61,Reduction de 30% sur le prochain abonnement
